service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Cloud Run,Services CPU (Request-based billing),622000000,global,152E-C115-5142,4856-B847-F1EB,14.928,
Cloud Run,Services Memory (Request-based billing),311000000,global,152E-C115-5142,02A2-9231-36A6,0.7775,
Cloud Run,Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,3.2,
,,,,,,,
,,,,,Total Price:,18.9055,
,,,,,,,
"Prices are in US dollars, effective date is 2025-08-01T22:37:42.614Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJpTm1Nek5URXlOaTAxTUdWakxUUm1aVEV0WVdNeE9DMDBNbVZrT0dGaU5UQXdZamNRQVE9PRokMTMyODRDMTUtMUY2NS00NTdELUI3N0YtNzE3MzYyODc3RDI1,,,,,,